country,year,forest_area,agri_co2,agri_gdp,energy_dep,urban_pop
Brazil,2000,65.9343586013156,5.3531,4.7504599720911,1.06361934131198,141213115.0
Brazil,2001,65.4616708980706,4.6632,4.80104301895508,0.977575361206361,143854809.0
Brazil,2002,64.9889831948257,4.8024,5.47527489476281,1.27808033346809,146362770.0
Brazil,2003,64.5162954915806,6.1552,6.16718438742418,1.29589763269967,148750069.0
Brazil,2004,64.0436077883357,5.5717,5.66531157678895,1.36897118604625,151038882.0
Brazil,2005,63.5709200850907,5.0883,4.65116882266178,1.74965157546248,153261352.0
Brazil,2006,63.0982323818457,5.5211,4.37004377895807,1.81164992773419,155420834.0
Brazil,2007,62.6255446786007,7.1531,4.41691543617235,1.51672802046892,157513322.0
Brazil,2008,62.1528569753558,6.3065,4.56785118104723,1.81401598096052,159534662.0
Brazil,2009,61.6801692721108,6.28,4.47677399214453,1.01382622138073,161481304.0
Brazil,2010,61.2074815688658,6.4277,4.11575648647055,1.12294789741317,163375657.0
Brazil,2011,61.023328156743,8.3606,4.34203412828906,1.52482093441453,165254972.0
Brazil,2012,60.8391747446202,7.9279,4.16832822424109,1.51443970543702,167142675.0
Brazil,2013,60.6550213324974,8.4148,4.50688618165956,1.33361465390865,169039320.0
Brazil,2014,60.4708679203746,8.5961,4.32561053877362,1.39876331607307,170939000.0
Brazil,2015,60.2867384370207,7.98,4.31914942931221,0.857685698468755,172822963.0
Brazil,2016,60.0710205859198,9.3097,4.89135358721066,0.686699294180488,174663337.0
Brazil,2017,59.8329293359527,9.3658,4.6005916952048,0.934976537711634,176450869.0
Brazil,2018,59.7083800941358,9.2282,4.4203993034602,1.5802963493344,178163387.0
Brazil,2019,59.5585860011916,9.7931,4.2050140951087,1.44608781006584,179821975.0
Brazil,2020,59.4174780513368,11.523,5.7114851151592,0.949585951805012,181349681.0
Brazil,2021,59.2704836243471,12.832,6.55876261207381,2.26355193351451,182593908.0
China,2000,18.8534727562839,24.1277,14.5272519499825,1.79731506923284,460007123.0
China,2001,19.1049681205612,24.6966,13.8221069560341,1.57118904898667,478975457.0
China,2002,19.3564538990231,31.1269,13.1294938258189,1.20500421564366,500505578.0
China,2003,19.6079386867747,29.2422,12.1757600914927,1.22303807236777,522191502.0
China,2004,19.8594228667065,29.9781,12.7288429360401,2.68974538115873,541241096.0
China,2005,20.1109081284255,21.1181,11.4828123533826,2.86369608647405,560469200.0
China,2006,20.3623927769671,23.5031,10.4758623658001,2.80089024515973,581345729.0
China,2007,20.6138778860824,21.4833,10.0934194559262,2.53837556070754,604767464.0
China,2008,20.8653616938384,20.4613,10.0099770734138,4.22543644483576,622448838.0
China,2009,21.1168450517356,24.6089,9.47299581661597,1.67546271504232,643553786.0
China,2010,21.3683288541342,21.3701,9.16649906130733,2.47644230809394,658606042.0
China,2011,21.574627370433,24.6059,9.0338458593332,3.16149821272887,697132024.0
China,2012,21.7809258867318,25.3131,8.96505673533992,1.98329766843015,719079105.0
China,2013,21.9872244030306,26.51,8.78442131602471,1.47248716740963,742829499.0
China,2014,22.1935229193294,22.5878,8.48242940933654,1.17449560810056,764815456.0
China,2015,22.3998214356282,24.6508,8.22401359479525,0.55146891809536,791070763.0
China,2016,22.6305120997506,18.2058,7.90065017505416,0.468471119066501,816574579.0
China,2017,22.8306567492632,15.1617,7.32839239286042,0.582954445963903,841083668.0
China,2018,23.0309079153534,15.3779,6.91714289236836,0.704281724834458,862700183.0
China,2019,23.2311590814436,17.1319,7.00621575788341,0.554702096120324,882795695.0
China,2020,23.4313037309562,16.2812,7.54018198521241,0.361833602387154,896379022.0
China,2021,23.6315548970464,15.9153,7.08935251618004,0.689430074246557,914094603.0
India,2000,22.7334950003195,16.8848,21.6110620465121,1.02346180781452,292484329.0
India,2001,22.7975675957473,17.4263,21.6188848861438,0.828110360959471,300764586.0
India,2002,22.8616401911751,16.0441,19.5345432709546,0.867367943069896,309256457.0
India,2003,22.9257127866029,17.1071,19.5919979784251,0.819592968436801,317909465.0
India,2004,22.9897853820307,17.9949,17.8146906487994,1.10715672736029,326854370.0
India,2005,23.0538579774586,19.4124,17.6202069548839,1.19300805301211,335947877.0
India,2006,23.1179305728864,21.1051,16.8094420944381,1.22182190122872,345189819.0
India,2007,23.1820031683142,22.1268,16.7501197597569,1.07291727902525,354595734.0
India,2008,23.246075763742,23.2943,16.7909423598037,1.66142827807217,364116881.0
India,2009,23.3101483591698,23.8766,16.7442701563161,0.775417579734654,374012157.0
India,2010,23.3742209545976,25.2412,17.0265090136912,0.986014030556976,384288267.0
India,2011,23.4638216864714,25.9393,17.191973558015,1.45102210281334,394443694.0
India,2012,23.5534224183453,25.8602,16.8453770661356,1.3102539931059,403931914.0
India,2013,23.6430231502191,25.5587,17.1484235433697,1.13323728072323,413495036.0
India,2014,23.732623882093,25.6624,16.7919345145039,0.897408488460908,422931498.0
India,2015,23.8222246139668,26.1607,16.1745081068401,0.446690449248634,432236104.0
India,2016,23.9116908102072,25.3388,16.3638005616331,0.351538246031059,441688342.0
India,2017,24.0014933455312,25.8574,16.5583314049368,0.445012813391893,451163324.0
India,2018,24.0909595417716,26.91,16.031630686449,0.585321120194591,460489278.0
India,2019,24.1807620770956,29.1932,16.7555683032837,0.410880933208775,469686125.0
India,2020,24.270228273336,30.9691,18.6685376603727,0.26604937301083,478694801.0
India,2021,24.3596944695764,29.2446,17.3725615260314,0.511873027354764,487087908.0
Indonesia,2000,53.943528667353,3.5589,15.6787044387708,7.45137815658051,90722754.0
Indonesia,2001,53.8572019777163,3.5692,15.9949177621389,5.4837898384725,93997140.0
Indonesia,2002,53.7708752880796,3.994,16.3196689664379,4.21853245214781,97235689.0
Indonesia,2003,53.684548598443,4.1095,15.1853482186248,3.94238336176447,100439322.0
Indonesia,2004,53.5982219088063,4.3403,14.3357802955642,5.239940184253,103587360.0
Indonesia,2005,53.5118952191696,4.5873,13.1266186400506,6.14077177344218,106748992.0
Indonesia,2006,53.4255685295329,4.2312,12.9738027192484,5.12252956736183,109961391.0
Indonesia,2007,53.3392418398962,4.5325,13.7166831034562,4.42489545035186,113181381.0
Indonesia,2008,53.2529151502595,4.7981,14.4817402607761,6.10757344982305,116391264.0
Indonesia,2009,53.1665884606228,5.8957,15.290148146172,2.88851681447415,119585835.0
Indonesia,2010,53.0802617709861,5.3935,13.929212707137,3.25930590053563,122788468.0
Indonesia,2011,52.586919226916,5.0755,13.5122870743946,4.35341911711752,125939961.0
Indonesia,2012,52.0935766828458,5.8411,13.3739742350727,3.32469101338448,129279032.0
Indonesia,2013,51.6002341387757,5.0164,13.3566991621949,2.84449057843017,132610251.0
Indonesia,2014,51.1068915947056,5.1607,13.3367549992146,2.650026347051,135911187.0
Indonesia,2015,50.6135490506354,5.8387,13.4926435578886,1.50974108051834,139204099.0
Indonesia,2016,50.7434545269582,5.4364,13.4787485470271,1.2207869391584,142402781.0
Indonesia,2017,50.0393338229866,5.7918,13.1566308462661,1.47015038673535,145581221.0
Indonesia,2018,49.7168177792076,6.1572,12.8084975586902,2.05913547027099,148731816.0
Indonesia,2019,49.3942964092507,5.9428,12.7126026577522,1.65062252853435,151880690.0
Indonesia,2020,49.0717803654717,5.5838,13.6984142796138,1.03216235550883,154661763.0
Indonesia,2021,48.3619448681206,5.8428,13.2801691376596,1.97850754829787,157409381.0
Japan,2000,68.2469135802469,1.0472,1.5178803390325,0.0044990009708632,99714682.0
Japan,2001,68.2716049382716,1.0796,1.36750619152798,0.0037954824084991,100648285.0
Japan,2002,68.2962962962963,1.1503,1.37649059914159,0.0038294057591234,102653106.0
Japan,2003,68.320987654321,1.0532,1.29902822421038,0.0044795773540641,105266041.0
Japan,2004,68.3456790123457,0.9997,1.23095748420526,0.0048269121204278,107793303.0
Japan,2005,68.3703703703704,0.9381,1.11162940578642,0.0057775573288303,109830300.0
Japan,2006,68.3950617283951,0.1152,1.08249674589504,0.0060768286195085,111419762.0
Japan,2007,68.4197530864198,0.7666,1.05336413232639,0.0068550456214849,112986662.0
